Team,Win %,MOV,ATS +/-,Season,Wins,Losses
USC,33.3,-3.1,-7.0,2021,4,8
UTSA,85.7,12.2,2.8,2021,12,2
UTSA,69.2,7.8,1.5,2023,9,4
UTSA,78.6,10.9,0.6,2022,11,3
UTSA,53.9,3.1,-1.1,2024,7,6
Utah,41.7,2.9,-2.1,2024,5,7
Utah,61.5,3.8,-0.9,2023,8,5
Utah,71.4,17.2,4.5,2022,10,4
Utah,71.4,13.6,4.5,2021,10,4
Utah St,46.2,-8.9,-5.7,2022,6,7
Utah St,46.2,-1.5,-1.2,2023,6,7
Utah St,33.3,-5.8,0.6,2024,4,8
Utah St,78.6,8.1,8.5,2021,11,3
VA Tech,46.2,-1.6,-4.2,2021,6,7
VA Tech,46.2,5.3,0.7,2024,6,7
VA Tech,53.9,5.6,6.2,2023,7,6
VA Tech,27.3,-5.5,-3.8,2022,3,8
Vanderbilt,16.7,-13.3,-4.3,2023,2,10
Vanderbilt,41.7,-11.4,1.0,2022,5,7
Vanderbilt,53.9,3.9,7.9,2024,7,6
Vanderbilt,16.7,-20.1,-3.0,2021,2,10
Virginia,41.7,-6.1,-2.9,2024,5,7
Virginia,30.0,-7.0,-6.7,2022,3,7
Virginia,50.0,2.8,0.1,2021,6,6
Virginia,25.0,-10.5,-0.4,2023,3,9
W Kentucky,61.5,1.8,-3.5,2023,8,5
W Kentucky,64.3,14.9,7.3,2021,9,5
W Kentucky,64.3,13.0,4.7,2022,9,5
W Kentucky,57.1,0.3,-2.7,2024,8,6
W Michigan,61.5,4.2,-1.0,2021,8,5
W Michigan,41.7,-5.1,-1.7,2022,5,7
W Michigan,46.2,-2.4,-2.5,2024,6,7
W Michigan,33.3,-8.1,0.8,2023,4,8
W Virginia,69.2,5.3,3.6,2023,9,4
W Virginia,46.2,-2.8,-2.8,2024,6,7
W Virginia,41.7,-2.3,-2.2,2022,5,7
W Virginia,46.2,1.4,-1.2,2021,6,7
Wake Forest,61.5,7.8,-0.9,2022,8,5
Wake Forest,78.6,12.1,3.4,2021,11,3
Wake Forest,33.3,-6.8,-2.7,2024,4,8
Wake Forest,33.3,-6.9,-5.0,2023,4,8
Wash State,61.5,6.7,-1.2,2024,8,5
Wash State,53.9,3.6,3.3,2021,7,6
Wash State,53.9,3.2,2.2,2022,7,6
Wash State,41.7,3.6,0.5,2023,5,7
Washington,84.6,13.8,3.7,2022,11,2
Washington,33.3,-1.2,-5.0,2021,4,8
Washington,46.2,-0.4,-3.5,2024,6,7
Washington,93.3,11.2,0.0,2023,14,1
Wisconsin,69.2,9.2,-1.2,2021,9,4
Wisconsin,53.9,6.1,-3.2,2022,7,6
Wisconsin,53.9,3.3,-3.7,2023,7,6
Wisconsin,41.7,-0.5,-1.3,2024,5,7
Wyoming,53.9,-2.7,0.4,2022,7,6
Wyoming,69.2,3.0,2.1,2023,9,4
Wyoming,53.9,1.7,-3.5,2021,7,6
Wyoming,25.0,-9.0,-1.5,2024,3,9
